state,year,people_in_prison,crimes_reported
MAHARASHTRA,2013,27400,0
MAHARASHTRA,2010,24281,208168
MAHARASHTRA,2005,25431,187027
MAHARASHTRA,2004,24922,176302
MAHARASHTRA,2001,22527,171233
MAHARASHTRA,2006,25789,191788
MAHARASHTRA,2008,25831,206243
MAHARASHTRA,2007,25892,195707
MAHARASHTRA,2012,24509,202700
MAHARASHTRA,2011,24082,204902
ORISSA,2002,12637,0
ORISSA,2009,13534,0
ORISSA,2003,12967,0
ORISSA,2013,14473,0
ORISSA,2010,12429,0
ORISSA,2005,13958,0
ORISSA,2004,13158,0
ORISSA,2001,11675,0
ORISSA,2006,14644,0
ORISSA,2008,14373,0
ORISSA,2007,15368,0
ORISSA,2012,12867,0
ORISSA,2011,12753,0
DELHI,2002,12041,0
DELHI,2009,11246,0
DELHI,2003,12172,0
DELHI,2013,13552,0
DELHI,2010,10856,0
DELHI,2005,12317,0
DELHI,2004,12610,0
DELHI,2001,11023,0
DELHI,2006,13400,0
DELHI,2008,11553,0
DELHI,2007,11605,0
DELHI,2012,12113,0
DELHI,2011,12124,0
SIKKIM,2002,172,485
SIKKIM,2009,193,669
SIKKIM,2003,171,443
SIKKIM,2013,230,0
SIKKIM,2010,207,552
SIKKIM,2005,195,552
SIKKIM,2004,162,631
SIKKIM,2001,186,444
SIKKIM,2006,225,703
SIKKIM,2008,260,730
SIKKIM,2007,226,667
SIKKIM,2012,236,528
SIKKIM,2011,190,596
JHARKHAND,2002,15128,31439
JHARKHAND,2009,17196,37436
JHARKHAND,2003,16415,32203
JHARKHAND,2013,18220,0
JHARKHAND,2010,18042,38889
JHARKHAND,2005,19233,35175
JHARKHAND,2004,17497,31439
JHARKHAND,2001,16517,25447
JHARKHAND,2006,20709,36364
JHARKHAND,2008,18403,38686
JHARKHAND,2007,17936,38489
JHARKHAND,2012,17331,40946
JHARKHAND,2011,16586,35838
DAMAN & DIU,2002,33,261
DAMAN & DIU,2009,40,276
DAMAN & DIU,2003,33,269
DAMAN & DIU,2013,56,0
DAMAN & DIU,2010,30,203
DAMAN & DIU,2005,35,243
DAMAN & DIU,2004,27,198
DAMAN & DIU,2001,41,239
DAMAN & DIU,2006,54,288
DAMAN & DIU,2008,43,248
DAMAN & DIU,2007,66,260
DAMAN & DIU,2012,25,239
DAMAN & DIU,2011,29,224
MEGHALAYA,2002,532,1664
MEGHALAYA,2009,656,2448
MEGHALAYA,2003,555,1669
MEGHALAYA,2013,850,0
MEGHALAYA,2010,626,2505
MEGHALAYA,2005,555,1880
MEGHALAYA,2004,493,1752
MEGHALAYA,2001,526,1687
MEGHALAYA,2006,621,1935
MEGHALAYA,2008,619,2318
MEGHALAYA,2007,665,2079
MEGHALAYA,2012,696,2557
MEGHALAYA,2011,570,2755
TAMIL NADU,2002,0,166942
TAMIL NADU,2009,0,174691
TAMIL NADU,2003,0,157186
TAMIL NADU,2010,0,185678
TAMIL NADU,2005,0,162360
TAMIL NADU,2004,0,166606
TAMIL NADU,2001,0,154801
TAMIL NADU,2006,0,148972
TAMIL NADU,2008,0,176833
TAMIL NADU,2007,0,172754
TAMIL NADU,2012,0,200474
TAMIL NADU,2011,0,192879
LAKSHADWEEP,2002,16,53
LAKSHADWEEP,2009,44,134
LAKSHADWEEP,2003,4,31
LAKSHADWEEP,2013,0,0
LAKSHADWEEP,2010,27,42
LAKSHADWEEP,2005,6,42
LAKSHADWEEP,2004,0,70
LAKSHADWEEP,2001,1,36
LAKSHADWEEP,2006,0,80
LAKSHADWEEP,2008,19,95
LAKSHADWEEP,2007,22,56
LAKSHADWEEP,2012,0,60
LAKSHADWEEP,2011,80,44
TAMILNADU,2002,21895,0
TAMILNADU,2009,14360,0
TAMILNADU,2003,22653,0
TAMILNADU,2013,14721,0
TAMILNADU,2010,13866,0
TAMILNADU,2005,20681,0
TAMILNADU,2004,21102,0
TAMILNADU,2001,21260,0
TAMILNADU,2006,18656,0
TAMILNADU,2008,16204,0
TAMILNADU,2007,16599,0
TAMILNADU,2012,13195,0
TAMILNADU,2011,13869,0
A & N ISLANDS,2002,331,608
A & N ISLANDS,2009,228,941
A & N ISLANDS,2003,296,644
A & N ISLANDS,2013,1149,0
A & N ISLANDS,2010,688,980
